base_number,japanese_text,russian_translation,english_original,converb_te_copula,converb_te_no_comma,converb_i_adjective,converb_te_comma,converb_te_period,converb_i,converb_nagara,converb_tari,converbs_amount,types_of_converbs,direct_speech,connection_type_ja,connection_type_en,conjunction_original,lexis,subject,comments
2-11-43,――やがてダドリーの一の子分、ピアーズ・ポルキスが母親に連れられて部屋に入ってきた,"‘Наконец лучший друг Дадли, Пирс Полкисс, сопровождаемый матерью [te] зашёл в комнату.","and a moment later, Dudley’s best friend, Piers Polkiss, walked in with his mother.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
2-12-10,ある時、床屋から帰ってきたハリーが、散髪する前と同じように髪が伸びているのを見て業をにやしたペチュニアおばさんが、キッチンバサミでクリクリに刈り上げたことがあった,"Однажды тётя Петунья, увидев, что Гарри вернулся из парикмахерской с такими же волосами, как и до этого [te], вышла из себя, кухонными ножницами остригла его налысо","Once, Aunt Petunia, tired of Harry coming back from the barber’s looking as though he hadn’t been at all, had taken a pair of kitchen scissors and cut his hair so short he was almost bald",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,ed,-,"[3 (te), (0)]",
2-12-13,ダドリーはハリーを見てバカ笑いしたし、ハリーは翌日の学校のことを思うと眠れなかった,"Дадли смотрел на Гарри [te], злобно усмехался, и Гарри не мог уснуть, думая о следующем дне в школе.","Dudley had laughed himself silly at Harry, who spent a sleepless night imagining school the next day, where he was already laughed at for his baggy clothes and Sellotaped glasses.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
2-12-14,ただでさえ、ダブダブの服を着てセロテープだらけのメガネをかけたハリーは物笑いの種だった,"Но Гарри носил мешковатую одежду [te] и носил очки, все покрытые скотчем, был объектом насмешек",he was already laughed at for his baggy clothes and Sellotaped glasses.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and,-,"[(te), (2)]",
2-12-36(1),ムチャクチャな音を出して走りおって。チンピラどもが,"Издают сумасшедшие звуки [te], носятся [te]","roaring along like maniacs, the young hoodlums",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,да,образ действия,образ действия,like,-,"[(te), (3)]","В этом и двух примерах ниже после ТЭ с точкой следует дискурсивный обрыв. Но в он оказывается разной природы. В 2-12-36 как бы прерывается ряд описаний плохого поведения героев ""носятся [и всякое такое, и вообще ] хулиганы"
2-12-36(2),ムチャクチャな音を出して走りおって。チンピラどもが,"Издают сумасшедшие звуки [te], носятся [te]","roaring along like maniacs, the young hoodlums",нет,нет,нет,нет,да,нет,нет,нет,1,ТЭ,да,дискурсивный обрыв,дискурсивный обрыв,точка,-,"[(te), (3)]",
2-12-47,その日はお天気もよく、土曜日で、動物園は家族連れで混み合っていた,"В этот день была хорошая погода [ku], была суббота [te], зоопарк был полон людей с семьями.",It was a very sunny Saturday and the zoo was crowded with families,да,нет,да,нет,нет,нет,нет,нет,2,"И, ТЭ",нет,фон-фигура,фон-фигура,and,-,"[2 (te), (0)]",
2-13-3,昼近くになると、ダドリーもピアーズも動物に飽きてきたので、かわりにお気に入りのハリー殴りを始めるかもしれないと思い、ハリーは慎重に二人から少し離れて歩くようにした,"Когда приблизился полдень, и Дадли, и Пирс устали от животных, поэтому Гарри аккуратно отделившись от них [te], попытался отойти, думая [i], что вместо этого они, возможно, начнут свои любимые избиения Гарри.","He was careful to walk a little way apart from the Dursleys so that Dudleyand Piers, who were starting to get bored with the animals by lunch-time, wouldn’t fall back on their favourite hobby of hitting him.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,-,-,"[2 (te), (0)]",
2-13-7,館内はヒヤッとして暗く、壁に沿ってガラスケースが並び、中には照明がついていた,"Внутри было прохладно [te] и темно [ku], параллельно стенам стояли в ряд стеклянные витрины [i], внутри было освещение.","It was cool and dark in here, with lit windows all along the walls.",нет,да,да,нет,нет,да,нет,нет,3,"И, ТЭ, И",нет,перечисление характеристик,перечисление характеристик,and,-,"[2 (te), (0)]",
2-13-10(1),バーノンおじさんの車を二巻きにして砕いてくずかごに放り込みそうな大蛇だ,"Это была змея, которая могла бы, поделив машину дяди Вернона на две части [te], сломать её [te] и бросить в мусорку.",It could have wrapped its body twice around Uncle Vernon’s car and crushed it into a dust-bin,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,and,-,"[2 (te), (0)]",
2-13-10(2),バーノンおじさんの車を二巻きにして砕いてくずかごに放り込みそうな大蛇だ,"Это была змея, которая могла бы, поделив машину дяди Вернона на две части [te], сломать её [te] и бросить в мусорку.",It could have wrapped its body twice around Uncle Vernon’s car and crushed it into a dust-bin,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,-,-,"[2 (te), (0)]",
2-13-15,ダドリーは、ガラスに鼻を押しつけて、ツヤツヤと光る茶色のとぐろを見つめていた。,"‘Дадли прижался носом к стеклу [te], смотрел на сверкающие коричневые кольца.’","Dudley stood with his nose pressed against the glass, staring at the glistening brown coils.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,последовательность действий,ing,-,"[2 (te), (0)]","Дадли прижался, смотрел"
2-13-20,一日中、ガラスを叩いてチョッカイを出すバカな人間ども以外に友達もいない,"У [змеи] даже не было друзей, кроме глупых людей, целый день бьющих по стеклу [te] и мешающих [ей жить].",no company except stupid people drumming their fingers on the glass trying to disturb it all day long.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
2-13-23,ハリーはガラスの前に来て、じっとヘビを見つめた。,"‘Гарри подошёл к окну [te], пристально уставился на змею.’",Harry moved in front of the tank and looked intently at the snake.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]","Гарри посмотрел, уставился"
2-13-25,あわてて誰か見ていないかと、周りを見まわした,"[Гарри] растерялся [te], осмотрелся по сторонам [пытаясь понять], смотрит ли кто-то.",Harry stared. Then he looked quickly around to see if anyone was watching. They weren’t,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,then,-,"[2 (te), (0)]",
2-13-50,へどがうなずいたとたん、ハリーの後ろで耳をつんざくような大声がして、ハリーもヘビも飛び上がりそうになった。,"‘Змея покачала головой, позади Гарри раздался громкий крик [te], и Гарри, и змея подпрыгнули.’","As the snake shook its head, a deafening shout behind Harry made both of them jump.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,-,as,-,"[(3 te), (2)]","а вот тут, кажется редкий случай, когда у ТЭ-формы свое подлежащее. Но и оно немного безличное: не Пирс завопил, а вопль раздался."
2-13-53,不意を食らってハリーはコンクリートの床にひっくり返った,"Застигнутый врасплох [te], Гарри упал на бетонный пол."," Caught by surprise, Harry fell hard on the concrete floor.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,ed,-,"[(te), (2)]",
2-14-2,館内にいた客たちは叫び声を上げ、出口に向かってかけ出した,"Посетители в помещение издали вопль [i], повернувшись к выходу [te], начали выходить.","The great snake was uncoiling itself rapidly, slithering out on to the floor – people throughout the reptile house screamed and started running for the exits.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
2-14-39,おばさんは、知っている人なのかと激しくハリーを問いつめ、何も買わずに二人を連れて店を飛び出した。,"Тётя разъярённо допросила Гарри, знает ли он этого человека [i], ничего не купив, вместе с ним [te] вылетела из магазина.","After asking Harry furiously if he knew the man, Aunt Petunia had rushed them out of the shop without buying anything.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
2-14-40,一度はバスの中で、緑ずくめのとっぴな格好をしたおばあさんがハリーに向かってうれしそうに手を振った,"Один раз в автобусе тётя, дикая с виду и одетая полностью в зелёное, повернувшись к Гарри [te], радостно помахала рукой.",A wild-looking old woman dressed all in green had waved merrily at him once on a bus.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
2-14-41,つい先日も、ひどく長い紫のマントを着たハゲ頭の男が、街中でハリーとしっかり握手までしてそのまま一言も言わずに立ち去った。,"Недавно лысый мужчина в ужасно длинной фиолетовой мантии в городе крепко пожал Гарри руку [te], не сказав ни слова, ушёл.",A bald man in a very long purple coat had actually shaken his hand in the street the other day and then walked away without a word.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and then,-,"[3 (te), (0)]",
3-14-49,やっとお許しが出て、物置から出してもらった時には、もう夏休みが始まっていた。,"‘Наконец-то [Гарри] дали разрешение [te], когда [он] вышел из чулана, уже начались летние каникулы. ’","By the time he was allowed out of his cupboard again, the summer holidays had started.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,фон-фигура,фон-фигура,by the time,-,"[(3 te), (2)]",тут опять разносубъектность с безличным первым звеном: разрешение вышло (тэ) и гарри покинул чулан
3-14-51,ダドリーは、買ってもらったばかりの８ミリカメラをとっくに壊し、ラジコン飛行機も墜落させ、おまけに、レース用自転車に初めて乗ったその日に、プリベット通りを松葉杖で横切っていたフィッグばあさんにぶつかって、転倒させてしまうという事件も終わっていた。,"‘Дадли уже сломал едва купленную ему восьмимиллиметровую камеру [i], самолёт с дистанционным управлением тоже разбил [i], а более того, в тот же день, когда [он] впервые сел на [свой] гоночный велосипед, [он] врезался в переходившую Тисовую улицу на костылях тётушку Фигг [te], опрокинул её.’","Dudley had already broken his new cine-camera, crashed his remote-control aeroplane and, first time on his racing bike, knocked down old Mrs Figg as she crossed Privet Drive on her crutches.",нет,нет,нет,да,нет,2,нет,нет,3,"И, И, ТЭ ",нет,причинность,последовательность действий,-,"omakeni, mo","[3 (te), (0)]","Дадли сломал камеру, разбил самолёт и врезался в тётю (более того!! лекс маркер большего веса?)"
3-15-5(1),ピアーズ、デニス、マルコム、ゴードン、みんな揃いもそろってデカくてウスノロばかりだったが、なかでもとびきりデカで、ウスノロなのがダドリーだったので、軍団のリーダーはダドリーだった,"Пирс, Деннис, Малкольм и Гордон, все они поголовно были без исключения большими [kute] и глупыми, но среди них был самый большой [te] и глупый  – Дадли, поэтому он был предводителем армии.","Piers, Dennis, Malcolm and Gordon were all big and stupid, but as Dudley was the biggest and stupidest of the lot, he was the leader",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and,-,"[3 (te), (0)]",тоже как будто бы топик
3-15-5(2),ピアーズ、デニス、マルコム、ゴードン、みんな揃いもそろってデカくてウスノロばかりだったが、なかでもとびきりデカで、ウスノロなのがダドリーだったので、軍団のリーダーはダドリーだった,"Пирс, Деннис, Малкольм и Гордон, все они поголовно были без исключения большими [kute] и глупыми, но среди них был самый большой [te] и глупый  – Дадли, поэтому он был предводителем армии.","Piers, Dennis, Malcolm and Gordon were all big and stupid, but as Dudley was the biggest and stupidest of the lot, he was the leader",да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and,-,"[3 (te), (0)]",
3-15-8, そういうわけで、ハリーは、なるべく家の外でぶらぶらして過ごすことにした。,"Поэтому Гарри, как можно больше шатаясь [te] за пределами дома, проводил время.","This was why Harry spent as much time as possible out of the house, wandering around.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[2 (te), (0)]",
3-15-14,二階に行って練習しようか,Хочешь пойти на второй этаж [te] и потренироваться?,Want to come upstairs and practise?,да,нет,нет,нет,нет,нет,нет,нет,1,ТЭ,да,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-15-20,七月に入り、ペチュニアおばさんはダドリーを連れてロンドンまでスメルティングズ校の制服を買いに出かけた,"В июле тётя Петунья, взяв с собой Дадли [te], направилась в Лондон, чтобы купить форму для школы Смелтингс.",Aunt Petunia took Dudley to London to buy his Smeltings uniform.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,to,-,"[2 (te), (0)]",
3-15-22,飼い猫の一匹につまずいて脚を骨折してからというもの、フィッグばあさんは前ほど猫好きではなくなったらしい,"Видимо, после того как она споткнулась об одну из своих кошек и сломала ногу, бабушка Фигг перестала любить кошек так сильно, как раньше.",It turned out she’d broken her leg tripping over one of her cats and she didn’t seem quite as fond of them as before.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[(te), (2)]",
3-15-25,その夜、ダドリーはピカピカの制服を着て居間を行進してみせた。,"Тем вечером Дадли, одетый в свою блестящую форму [te], промаршировал через гостиную.","That evening, Dudley paraded around the living-room for thefamily in his brand-new uniform.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
3-15-27(1),てっぺんにこぶ状の握りのある杖を持つことになっていて、これはもっぱら先生が見ていないすきをねらって、生徒が互いに殴りあうために使われる。,"‘Было принято носить с собой палки с горбовидными рукоятями наверху [te], когда учитель не смотрит, ученики ловят момент [te] и пользуются ими, чтобы бить друг друга.’","They also carried knobbly sticks, used for hitting each other while the teachers weren’t looking.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ed,-,"[(3 te), (3)]","в англ. нет ""ловят момент"""
3-15-27(2),てっぺんにこぶ状の握りのある杖を持つことになっていて、これはもっぱら先生が見ていないすきをねらって、生徒が互いに殴りあうために使われる。,"‘Было принято носить с собой палки с горбовидными рукоятями наверху [te], когда учитель не смотрит, ученики ловят момент [te] и пользуются ими, чтобы бить друг друга.’","They also carried knobbly sticks, used for hitting each other while the teachers weren’t looking.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,while,-,"[(3 te), (3)]",
3-15-29,真新しいニッカーボッカー姿のダドリーを見て、バーノンおじさんは、人生で最も誇らしい瞬間だと声をつまらせた。,"‘Увидев Дадли в новеньких бриджах [te], дядя Вернон сдавленным голосом сказал, что это самый гордый момент в его жизни.’","As he looked at Dudley in his new knickerbockers, Uncle Vernon said gruffly that it was the proudest moment of his life.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,as,-,"[2 (te), (0)]",Вернон увидел Дадли и сказал
3-15-30,ペチュニアおばさんは、こんなに大きくなって、こんなにハンサムな子が、私のちっちゃなダドリー坊やだなんて、信じられないとうれし泣きした。,"‘Тётя Петунья плакала от счастья: “Не могу поверить, что мой маленький мальчик Дадли стал настолько большим [te], настолько красивым.’","Aunt Petunia burst into tears and said she couldn’t believe it was her Ickle Dudleykins, he looked so handsome and grown-up.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,да,перечисление характеристик,перечисление характеристик,and,повтор,"[3 (te), (0)]","перечисление характеристик, симметрия"
3-15-31,ハリーはとても何か言うどころではなく、笑いをこらえるのに必死で、あばら骨が二本折れたかと思うほど苦しかった,"У Гарри было слишком мало места, чтобы что-то сказать [ku], в отчаянии сдерживал смех [te], настолько переволновался, что думал, что сломал два ребра.",Harry didn’t trust himself to speak. He thought two of his ribs might already have cracked from trying not to laugh.,да,нет,да,нет,нет,нет,нет,нет,2,"И, ТЭ",нет,перечисление характеристик,-,-,-,"[2 (te), (0)]",
3-15-41,食卓について、ストーンウォール入学の第一日目の自分の姿を想像した……たぶん年とった象の皮を着たみたいに見えるだろうな……でもそれは考えないことにした。,"‘[Он] сел за стол [te], представил, как будет выглядеть в первый день своего поступления в “Хай Камеронс”... наверное, [он] выглядит так, будто надел кожу старого слона… Но решил не размышлять об этом.’","He sat down at the table and tried not to think about how he was going to look on his first day at Stonewall High – like he was wearing bits of old elephant skin, probably.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-15-44,ダドリーとバーノンおじさんが入ってきて、匂いに顔をしかめた。,"‘Дадли и дядя Вернон зашли [te], от запаха сморщили лица.’","Dudley and Uncle Vernon came in, both with wrinkled noses",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,образ действия,with,-,"[3 (te), (0)]",
3-16-4,ハリーは手紙を拾い上げてまじまじと見つめた,Гарри взял письмо [te] и пристально посмотрел на него.,"Harry picked it up and stared at it, his heart twanging like a giant elastic band",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-16-20,バーノンおじさんに請求書と絵葉書を渡し、椅子に座ってゆっくりと黄色の封筒を開きはじめた,"Он передал счет и открытку дяде Вернону [i], который сел в кресло [te] и медленно начал вскрывать желтый конверт.","He handed Uncle Vernon the bill and the postcard, sat down and slowly began to open the yellow envelope.",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-16-31,とバーノンおじさんはせせら笑い、片手でパラっと手紙を開いてチラリと目をやった,"Дядя Вернон усмехнулся [i], одной рукой вскрыл письмо [te] и заглянул в него.","sneered Uncle Vernon, shaking the letter open with one hand and glancing at it",нет,да,нет,нет,нет,да,нет,нет,2,"И, ТЭ",нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-16-36,ダドリーが手紙を奪って読もうとしたが、おじさんは手が届かないように高々と掲げていた,"Дадли взял письмо [te], чтобы попытаться прочитать его, но дядя держал его высоко, так, что не дотянуться.","Dudley tried to grab the letter to read it, but Uncle Vernon held it high out of his reach.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,to,-,"[3 (te), (0)]",
3-17-30,おじさんは二、三回深呼吸して、無理に笑顔を取りつくろったが、相当苦しい笑顔だった。,"‘Дядя два-три раза тяжело вздохнул [te], выдавил улыбку, но [эта] улыбка была достаточно болезненная.’","He took a few deep breaths and then forced his face into a smile, which looked quite painful.",нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-17-34,ベッドに腰かけて周りを見回すと、ガラクタばかりが置いてあった,"Он сел на кровать [te], огляделся вокруг и увидел только хлам.",He sat down on the bed and stared round him.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[2 (te), (0)]",
3-17-36,ダドリーがその戦車に乗って隣の犬を轢いてしまったことがある。,"Случилось и такое, что Дадли верхом на этом танке [te] переехал соседскую собаку.","The month-old cine-camera was lying on top of a small, working tank Dudleyhad once driven over next door’s dog;",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
3-17-37(1),隅に置かれたダドリーの一台目のテレビは、お気に入りの番組が中止になったと言って蹴りつけて大穴をあけてしまった,"Первый свой стоявший в углу телевизор Дадли, сказав [te], что его любимую программу отменили, пнул [te] и тем самым проделал в нём большую дыру."," in the corner was Dudley’s first-ever television set, which he’d put his foot through when his favourite programme had been cancelled",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,причинность,причинность,when,-,"[3 (te), (0)]",
3-17-37(2),隅に置かれたダドリーの一台目のテレビは、お気に入りの番組が中止になったと言って蹴りつけて大穴をあけてしまった,"Первый свой стоявший в углу телевизор Дадли, сказав [te], что его любимую программу отменили, пнул [te] и тем самым проделал в нём большую дыру."," in the corner was Dudley’s first-ever television set, which he’d put his foot through when his favourite programme had been cancelled",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
3-17-39,その銃は、ダドリーが尻に敷いて銃身をひどく曲げてしまい、今は棚の上にほったらかしになっている,"Ружьё, на которое Дадли так сильно уселся задом [te], что погнул его [i], сейчас лежало на полке в одиночестве.","a real air-rifle, which was up on a shelf with the end all bent because Dudley had sat on it",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,причинность,причинность,because,-,"[2 (te), (0)]",
3-17-41,下からダドリーが母親に向かって喚いているのが聞こえた,"Он услышал, как Дадли, повернувшись лицом к матери [te], кричит на неё. ",From downstairs came the sound of Dudley bawling at his mother:,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[2 (te), (0)]",
3-18-3,喚いたり、父親をスメルティングズ杖で叩いたり、わざと気分が悪くなってみせたり、母親を蹴飛ばしたり、温室の屋根をぶち破って亀を放り投げたり、それでも部屋は取り戻せなかったからだ,"Потому что он и кричал [tari], и бил [tari] отца тростью Смелтингса, и нарочно старался [tari] сделать ему больно, и пинал [tari] мать, проломил [te] крышу теплицы и бросил [tari] черепаху, и всё равно не получил свою комнату обратно.","He’d screamed, whacked his father with his Smeltings stick, been sick on purpose, kicked his mother and thrown his tortoise through the greenhouse roof and he still didn’t have his room back",нет,да,нет,нет,нет,нет,нет,5,6,"ТАРИ, ТАРИ, ТАРИ, ТАРИ, ТЭ, ТАРИ",нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
3-18-10,バーノンおじさんは首を締められたような叫び声を上げて椅子から跳び上がり、廊下をかけ出した,"Дядя Вернон, издав [te] вопль, похожий на крик задушенного, вскочил с кресла [i] и выбежал в коридор.","With a strangled cry, Uncle Vernon leapt from his seat and ran down the hall, Harry right behind him.",нет,да,нет,нет,нет,да,нет,нет,2,"ТЭ, И",нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
3-18-26,ハリーは空中に跳び上がった――玄関マットの上で、何か大きくてグニャッとしたものを踏んだ…,Гарри подпрыгнул в воздух - он наступил на что-то большое [te] и хлюпающее на входном коврике...,Harry leapt into the air – he’d trodden on something big and squashy on the doormat – something alive!,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,and,-,"[3 (te), (0)]",
3-18-28,大きくてダニャッとしたものは、なんと、バーノンおじさんの顔だった。,"К его удивлению, большая [te] болтающаяся штука оказалась лицом дяди Вернона.",Lights clicked on upstairs and to his horror Harry realised that the big squashy something had been his uncle’s face.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,перечисление характеристик,перечисление характеристик,-,-,"[(0 te), (3)]",
3-18-30,おじさんは、まさにハリーのやろうとしたことを阻止するために、寝袋にくるまって玄関のドアの前で横になっていたのだ,"Дядя лежал перед входной дверью, завернувшись [te] в спальный мешок, чтобы помешать Гарри сделать именно то, что он собирался сделать.","Uncle Vernon had been lying at the foot of the front door in a sleepingbag, clearly making sure that Harry didn’t do exactly what he’d been trying to do.",нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
3-18-25,取っ組み合いの大混戦がしぼらく続き、みんないやというほどスメルティングズ杖を食らって、やがて息も絶えだえに立ち上がったのはバーノンおじさんだった。,"‘Некоторое время продолжалась схватка [i], все до невозможного получили узловатой палкой [te], в конце концов со слабым дыханием встал дядя Вернон. Он крепко держал [в руке] письмо для Гарри.’","After a minute of confused fighting, in which everyone got hit a lot by the Smeltings stick, Uncle Vernon straightened up, gasping for breath, with Harry’s letter clutched in his hand.",нет,нет,нет,да,нет,да,нет,нет,2,"И, ТЭ",нет,фон-фигура,фон-фигура,after,yagate,"[(3 te), (2)]",
3-18-56,手紙を全部焼き捨て、釘と金槌を取り出すと、玄関と裏口のドアのすき間というすき間に板を打ちつけ、誰一人外に出られないようにした。,"‘Он сжёг все письма [te], а когда достал гвозди и молоток, то прибил доску в щель входной и задней дверей [i], сделал так, чтобы никто не мог выйти наружу.’","After burning all the letters, he got out a hammer and nails and boarded up the cracks around the front and back doors so no one could go out.",нет,нет,нет,да,нет,да,нет,нет,2,"ТЭ, И",нет,последовательность действий,последовательность действий,after,-,"[2 (te), (0)]",
3-19-2,ダドリーも驚いてハリーに聞いた。,Дадли тоже удивился [te] и спросил Гарри.,‘Who on earth wants to talk to you this badly?’ Dudley asked Harry in amazement.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,prep,-,"[3 (te), (0)]",
3-19-7(1),そう言い終わらないうちに、何かがキッチンの煙突を伝ってヒューッと落ちてきて、おじさんの後頭部にこつんとぶつかった。,"‘Не успел [он] договорить, как что-то, следуя по дымоходу на кухне [te], со свистом вылетело [te], со стуком ударило по затылку дяди.’",Something came whizzing down the kitchen chimney as he spoke and caught him sharply on the back of the head.,нет,да,нет,нет,нет,нет,нет,нет,1,ТЭ,нет,последовательность действий,последовательность действий,and,-,"[3 (te), (0)]",
3-19-7(2),そう言い終わらないうちに、何かがキッチンの煙突を伝ってヒューッと落ちてきて、おじさんの後頭部にこつんとぶつかった。,"‘Не успел [он] договорить, как что-то, следуя по дымоходу на кухне [te], со свистом вылетело [te], со стуком ударило по затылку дяди.’",Something came whizzing down the kitchen chimney as he spoke and caught him sharply on the back of the head.,нет,нет,нет,да,нет,нет,нет,нет,1,ТЭ,нет,образ действия,образ действия,ing,-,"[3 (te), (0)]",
